name,year,gdp_pc
China,1960,89.5205415103584
China,1961,75.8058379259965
China,1962,70.9094116671007
China,1963,74.3136434486145
China,1964,85.4985551596313
China,1965,98.4867777522206
China,1966,104.324566181147
China,1967,96.5895319417819
China,1968,91.4727183066072
China,1969,100.12990326618
China,1970,113.162991554686
China,1971,118.654577785346
China,1972,131.883561243868
China,1973,157.090374298657
China,1974,160.140093727686
China,1975,178.341819608096
China,1976,165.40554037242
China,1977,185.422832913673
China,1978,156.396388520044
China,1979,183.983152215978
China,1980,194.804722186836
China,1981,197.071474499102
China,1982,203.334919503464
China,1983,225.431928890812
China,1984,250.713969046988
China,1985,294.45884850496
China,1986,281.928120911563
China,1987,251.811956961329
China,1988,283.537695240524
China,1989,310.8819124049
China,1990,317.884673040928
China,1991,333.142145400184
China,1992,366.460692302073
China,1993,377.389839479958
China,1994,473.492278718042
China,1995,609.656679202484
China,1996,709.413755085039
China,1997,781.744164341053
China,1998,828.580479295681
China,1999,873.28706172579
China,2000,959.372483639691
China,2001,1053.10824300452
China,2002,1148.5082904417
China,2003,1288.64325183381
China,2004,1508.66809788266
China,2005,1753.41782925823
China,2006,2099.22943460447
China,2007,2695.36591709669
China,2008,3471.2480543115
China,2009,3838.43397176904
China,2010,4560.51258600929
China,2011,5633.7957168394
China,2012,6337.88332279255
China,2013,7077.77076539558
China,2014,7683.50261309118
China,2015,8069.21302389511
China,2016,8117.26746543179
China,2017,8826.99409574835
China,2018,NA
